1960
DATE;TITLE;ARTIST;WKS AT NO.1
13/06/1981;BEING WITH YOU;SMOKEY ROBINSON;2
27/06/1981;ONE DAY IN YOUR LIFE;MICHAEL JACKSON;2
11/07/1981;GHOST TOWN;SPECIALS;3
01/08/1981;GREEN DOOR;SHAKIN' STEVENS;4
29/08/1981;JAPANESE BOY;ANEKA;1
05/09/1981;TAINTED LOVE;SOFT CELL;2
19/09/1981;PRINCE CHARMING;ADAM & THE ANTS;4
17/10/1981;IT'S MY PARTY;DAVE STEWART WITH BARBARA GASKIN;4
14/11/1981;EVERY LITTLE THING SHE DOES IS MAGIC;POLICE;1
21/11/1981;UNDER PRESSURE;QUEEN & DAVID BOWIE;2
05/12/1981;BEGIN THE BEGUINE (VOLVER A EMPEZAR);JULIO IGLESIAS;1
12/12/1981;DON'T YOU WANT ME;HUMAN LEAGUE;5
1982
DATE;TITLE;ARTIST;WKS AT NO.1
16/01/1982;THE LAND OF MAKE BELIEVE;BUCKS FIZZ;2
30/01/1982;OH JULIE;SHAKIN' STEVENS;1
06/02/1982;THE MODEL/COMPUTER LOVE;KRAFTWERK;1
13/02/1982;A TOWN CALLED MALICE/PRECIOUS;JAM;3
06/03/1982;THE LION SLEEPS TONIGHT;TIGHT FIT;3
27/03/1982;SEVEN TEARS;GOOMBAY DANCE BAND;3
17/04/1982;MY CAMERA NEVER LIES;BUCKS FIZZ;1
24/04/1982;EBONY AND IVORY;PAUL McCARTNEY & STEVIE WONDER;3
15/05/1982;A LITTLE PEACE;NICOLE;2
29/05/1982;HOUSE OF FUN;MADNESS;2
12/06/1982;GOODY TWO SHOES;ADAM ANT;2
26/06/1982;I'VE NEVER BEEN TO ME;CHARLENE;1
03/07/1982;HAPPY TALK;CAPTAIN SENSIBLE;2
17/07/1982;FAME;IRENE CARA;3
07/08/1982;COME ON EILEEN;DEXY'S MIDNIGHT RUNNERS WITH THE EMERALD EXPRESS;4
04/09/1982;EYE OF THE TIGER;SURVIVOR;4
02/10/1982;PASS THE DUTCHIE;MUSICAL YOUTH;3
23/10/1982;DO YOU REALLY WANT TO HURT ME;CULTURE CLUB;3
13/11/1982;I DON'T WANNA DANCE;EDDY GRANT;3
04/12/1982;BEAT SURRENDER;JAM;2
18/12/1982;SAVE YOUR LOVE;RENEE & RENATO;4
1983
DATE;TITLE;ARTIST;WKS AT NO.1
15/01/1983;YOU CAN'T HURRY LOVE;PHIL COLLINS;2
29/01/1983;DOWN UNDER;MEN AT WORK;3
19/02/1983;TOO SHY;KAJAGOOGOO;2
05/03/1983;BILLIE JEAN;MICHAEL JACKSON;1
12/03/1983;TOTAL ECLIPSE OF THE HEART;BONNIE TYLER;2
26/03/1983;IS THERE SOMETHING I SHOULD KNOW;DURAN DURAN;2
09/04/1983;LET'S DANCE;DAVID BOWIE;3
30/04/1983;TRUE.;SPANDAU BALLET;4
28/05/1983;CANDY GIRL;NEW EDITION;1
04/06/1983;EVERY BREATH YOU TAKE;POLICE;4
02/07/1983;BABY JANE;ROD STEWART;3
23/07/1983;WHEREVER I LAY MY HAT (THAT'S MY HOME);PAUL YOUNG;3
13/08/1983;GIVE IT UP;K C & THE SUNSHINE BAND;3
03/09/1983;RED RED WINE;UB 40;3
24/09/1983;KARMA CHAMELEON;CULTURE CLUB;6
05/11/1983;UPTOWN GIRL;BILLY JOEL;5
10/12/1983;ONLY YOU;FLYING PICKETS;5
1984
DATE;TITLE;ARTIST;WKS AT NO.1
14/01/1984;PIPES OF PEACE;PAUL MCCARTNEY;2
28/01/1984;RELAX;FRANKIE GOES TO HOLLYWOOD;5
03/03/1984;99 RED BALLOONS;NENA;3
24/03/1984;HELLO;LIONEL RICHIE;6
05/05/1984;THE REFLEX;DURAN DURAN;4
02/06/1984;WAKE ME UP BEFORE YOU GO-GO;WHAM!;2
16/06/1984;TWO TRIBES;FRANKIE GOES TO HOLLYWOOD;9
18/08/1984;CARELESS WHISPER;GEORGE MICHAEL;3
08/09/1984;I JUST CALLED TO SAY I LOVE YOU;STEVIE WONDER;6
20/10/1984;FREEDOM;WHAM!;3
10/11/1984;I FEEL FOR YOU;CHAKA KHAN;3
01/12/1984;I SHOULD HAVE KNOWN BETTER;JIM DIAMOND;1
08/12/1984;THE POWER OF LOVE;FRANKIE GOES TO HOLLYWOOD;1
15/12/1984;DO THEY KNOW IT'S CHRISTMAS?;BAND AID;5
1985
DATE;TITLE;ARTIST;WKS AT NO.1
19/01/1985;I WANT TO KNOW WHAT LOVE IS;FOREIGNER;3
09/02/1985;I KNOW HIM SO WELL;ELAINE PAIGE & BARBARA DICKSON;4
09/03/1985;YOU SPIN ME ROUND (LIKE A RECORD);DEAD OR ALIVE;2
23/03/1985;EASY LOVER;PHILIP BAILEY (DUET WITH PHIL COLLINS);4
20/04/1985;WE ARE THE WORLD;USA FOR AFRICA;2
04/05/1985;MOVE CLOSER;PHYLLIS NELSON;1
11/05/1985;19;PAUL HARDCASTLE;5
15/06/1985;YOU'LL NEVER WALK ALONE;CROWD;2
29/06/1985;FRANKIE;SISTER SLEDGE;4
27/07/1985;THERE MUST BE AN ANGEL (PLAYING WITH MY HEART);EURYTHMICS;1
03/08/1985;INTO THE GROOVE;MADONNA;4
31/08/1985;I GOT YOU BABE;UB40 FEATURING CHRISSIE HYNDE;1
07/09/1985;DANCING IN THE STREETS;DAVID BOWIE & MICK JAGGER;4
05/10/1985;IF I WAS;MIDGE URE;1
12/10/1985;THE POWER OF LOVE;JENNIFER RUSH;5
16/11/1985;A GOOD HEART;FEARGAL SHARKEY;2
30/11/1985;I'M YOUR MAN;WHAM!;2
14/12/1985;SAVING ALL MY LOVE FOR YOU;WHITNEY HOUSTON;2
28/12/1985;MERRY CHRISTMAS EVERYONE;SHAKIN' STEVENS;2
1986
DATE;TITLE;ARTIST;WKS AT NO.1
11/01/1986;WEST END GIRLS;PET SHOP BOYS;2
25/01/1986;THE SUN ALWAYS SHINES ON TV;A-HA;2
08/02/1986;WHEN THE GOING GETS TOUGH, THE TOUGH GET GOING;BILLY OCEAN;4
08/03/1986;CHAIN REACTION;DIANA ROSS;3
29/03/1986;LIVING DOLL;CLIFF RICHARD & THE YOUNG ONES FEATURING HANK B MARVIN;3
19/04/1986;A DIFFERENT CORNER;GEORGE MICHAEL;3
10/05/1986;ROCK ME AMADEUS;FALCO;1
17/05/1986;THE CHICKEN SONG;SPITTING IMAGE;3
07/06/1986;SPIRIT IN THE SKY;DOCTOR & THE MEDICS;3
28/06/1986;THE EDGE OF HEAVEN/WHERE DID YOUR HEART GO;WHAM!;2
12/07/1986;PAPA DON'T PREACH;MADONNA;3
02/08/1986;THE LADY IN RED;CHRIS DE BURGH;3
23/08/1986;I WANT TO WAKE UP WITH YOU;BORIS GARDINER;3
13/09/1986;DON'T LEAVE ME THIS WAY;COMMUNARDS WITH SARAH-JANE MORRIS;4
11/10/1986;TRUE BLUE;MADONNA;1
18/10/1986;EVERY LOSER WINS;NICK BERRY;3
08/11/1986;TAKE MY BREATH AWAY (LOVE THEME FROM 'TOP GUN');BERLIN;4
06/12/1986;THE FINAL COUNTDOWN;EUROPE;2
20/12/1986;CARAVAN OF LOVE;HOUSEMARTINS;1
27/12/1986;REET PETITE (THE SWEETEST GIRL IN TOWN);JACKIE WILSON;4
1987
DATE;TITLE;ARTIST;WKS AT NO.1
24/01/1987;JACK YOUR BODY;STEVE 'SILK' HURLEY;2
07/02/1987;I KNEW YOU WERE WAITING (FOR ME);ARETHA FRANKLIN & GEORGE MICHAEL;2
21/02/1987;STAND BY ME;BEN E. KING;3
14/03/1987;EVERYTHING I OWN;BOY GEORGE;2
28/03/1987;RESPECTABLE;MEL & KIM;1
04/04/1987;LET IT BE;FERRY AID;3
25/04/1987;LA ISLA BONITA;MADONNA;2
09/05/1987;NOTHING'S GONNA STOP US NOW;STARSHIP;4
06/06/1987;I WANNA DANCE WITH SOMEBODY (WHO LOVES ME);WHITNEY HOUSTON;2
20/06/1987;STAR TREKKIN';THE FIRM;2
04/07/1987;IT'S A SIN;PET SHOP BOYS;3
25/07/1987;WHO'S THAT GIRL;MADONNA;1
01/08/1987;LA BAMBA;LOS LOBOS;2
15/08/1987;I JUST CAN'T STOP LOVING YOU;MICHAEL JACKSON;2
29/08/1987;NEVER GONNA GIVE YOU UP;RICK ASTLEY;5
03/10/1987;PUMP UP THE VOLUME / ANITINA (THE FIRST TIME I SEE SHE DANCE);M/A/R/R/S;2
17/10/1987;YOU WIN AGAIN;BEE GEES;4
14/11/1987;CHINA IN YOUR HAND;T'PAU;5
19/12/1987;ALWAYS ON MY MIND;PET SHOP BOYS;4
1988
DATE;TITLE;ARTIST;WKS AT NO.1
16/01/1988;HEAVEN IS A PLACE ON EARTH;BELINDA CARLISLE;2
30/01/1988;I THINK WE'RE ALONE NOW;TIFFANY;3
20/02/1988;I SHOULD BE SO LUCKY;KYLIE MINOGUE;5
26/03/1988;DON'T TURN AROUND;ASWAD;2
09/04/1988;HEART;PET SHOP BOYS;3
30/04/1988;THEME FROM S-EXPRESS;S-EXPRESS;2
14/05/1988;PERFECT;FAIRGROUND ATTRACTION;1
21/05/1988;WITH A LITTLE HELP FROM MY FRIENDS/SHE'S LEAVING HOME;WET WET WET/BILLY BRAGG;4
18/06/1988;DOCTORIN' THE TARDIS;TIMELORDS;1
25/06/1988;I OWE YOU NOTHING;BROS;2
09/07/1988;NOTHING'S GONNA CHANGE MY LOVE FOR YOU;GLENN MEDEIROS;4
06/08/1988;THE ONLY WAY IS UP;YAZZ & THE PLASTIC POPULATION;5
10/09/1988;A GROOVY KIND OF LOVE;PHIL COLLINS;2
24/09/1988;HE AIN'T HEAVY, HE'S MY BROTHER;HOLLIES;2
08/10/1988;DESIRE;U2;1
15/10/1988;ONE MOMENT IN TIME;WHITNEY HOUSTON;2
29/10/1988;ORINOCO FLOW;ENYA;3
19/11/1988;THE FIRST TIME;ROBIN BECK;3
10/12/1988;MISTLETOE AND WINE;CLIFF RICHARD;4
1989
DATE;TITLE;ARTIST;WKS AT NO.1
07/01/1989;ESPECIALLY FOR YOU;KYLIE MINOGUE & JASON DONOVAN;3
28/01/1989;SOMETHINGS GOTTEN HOLD OF MY HEART;MARC ALMOND FEATURING SPECIAL GUEST STAR GENE PITNEY;4
25/02/1989;BELFAST CHILD;SIMPLE MINDS;2
11/03/1989;TOO MANY BROKEN HEARTS;JASON DONOVAN;2
25/03/1989;LIKE A PRAYER;MADONNA;3
15/04/1989;ETERNAL FLAME;BANGLES;4
13/05/1989;HAND ON YOUR HEART;KYLIE MINOGUE;1
20/05/1989;FERRY 'CROSS THE MERSEY;CHRISTIANS, HOLLY JOHNSON, PAUL McCARTNEY, GERRY MARSDEN & STOCK AITKEN WATERMAN;3
10/06/1989;SEALED WITH A KISS;JASON DONOVAN;2
24/06/1989;BACK TO LIFE (HOWEVER DO YOU WANT ME);SOUL II SOUL FEATURING CARON WHEELER;4
22/07/1989;YOU'LL NEVER STOP ME LOVING YOU;SONIA;2
05/08/1989;SWING THE MOOD;JIVE BUNNY & THE MASTERMIXERS;5
09/09/1989;RIDE ON TIME;BLACK BOX;6
21/10/1989;THAT'S WHAT I LIKE;JIVE BUNNY & THE MASTERMIXERS;3
11/11/1989;ALL AROUND THE WORLD;LISA STANSFIELD;2
25/11/1989;YOU GOT IT (THE RIGHT STUFF);NEW KIDS ON THE BLOCK;3
16/12/1989;LET'S PARTY;JIVE BUNNY & THE MASTERMIXERS;1
23/12/1989;DO THEY KNOW IT'S CHRISTMAS?;BAND AID II;3
